time,P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,mc1,mc2,mc3,mc4,Phi_cmd,The_cmd,Psi_cmd,Alt_cmd
1.94,0,0,0,0,0,0,0,0,0.042212192683667,0,0,3.02568180226619,4109.42763456954,4109.42763456954,4109.42763456954,4109.42763456954,38.8752960666152,38.8752960666152,38.8752960666152,38.8752960666152,0,0,0,3.048
1.96,0,0,0,0,0,0,0,0,0.0423157001968878,0,0,3.02652710197215,4109.29554326651,4109.29554326651,4109.29554326651,4109.29554326651,38.8737246828906,38.8737246828906,38.8737246828906,38.8737246828906,0,0,0,3.048
1.98,0,0,0,0,0,0,0,0,0.0424066570507583,0,0,3.02737434608798,4109.16500101526,4109.16500101526,4109.16500101526,4109.16500101526,38.8721724542082,38.8721724542082,38.8721724542082,38.8721724542082,0,0,0,3.048
2,0,0,0,0,0,0,0,0,0.0424852115598421,0,0,3.02822328508394,4109.03600509709,4109.03600509709,4109.03600509709,4109.03600509709,38.8706393497071,38.8706393497071,38.8706393497071,38.8706393497071,0,0,0,3.048
2.02,0,0,0,0,0,0,0,0,0.0425515117677798,0,0,3.02907367239384,4108.90855285341,4108.90855285341,4108.90855285341,4108.90855285341,38.8691253389605,38.8691253389605,38.8691253389605,38.8691253389605,0,0,0,3.048
2.04,0,0,0,0,0,0,0,0,0.0426057054529179,0,0,3.02992526440973,4108.78264167917,4108.78264167917,4108.78264167917,4108.78264167917,38.8676303919013,38.8676303919013,38.8676303919013,38.8676303919013,0,0,0,3.048
2.06,0,0,0,0,0,0,0,0,0.042647940133315,0,0,3.03077782047661,4108.65826901645,4108.65826901645,4108.65826901645,4108.65826901645,38.8661544787509,38.8661544787509,38.8661544787509,38.8661544787509,0,0,0,3.048
2.08,0,0,0,0,0,0,0,0,0.0426783630711403,0,0,3.03163110288726,4108.53543234817,4108.53543234817,4108.53543234817,4108.53543234817,38.8646975699483,38.8646975699483,38.8646975699483,38.8646975699483,0,0,0,3.048
2.1,0,0,0,0,0,0,0,0,0.0426971212764806,0,0,3.0324848768772,4108.41412919206,4108.41412919206,4108.41412919206,4108.41412919206,38.8632596360823,38.8632596360823,38.8632596360823,38.8632596360823,0,0,0,3.048
2.12,0,0,0,0,0,0,0,0,0.0427043615105712,0,0,3.03333891061965,4108.29435709465,4108.29435709465,4108.29435709465,4108.29435709465,38.8618406478252,38.8618406478252,38.8618406478252,38.8618406478252,0,0,0,3.048
